id,index,region,city,settlement,okato,oktmo,fias,kladr,latitude,longitude,geoname,tax_office
37,142700,Московская область,город Видное,деревня Мильково,46407000156,46707000256,495f1fb9-848f-47a2-9d9a-c42f43ec3469,5000002502800,55.607402,37.793921,473778,5003
38,142714,Московская область,город Видное,деревня Орлово,46407000171,46707000271,6f8d8c9a-671d-47a5-a9c0-6628de3a184d,5000002500300,55.554751,37.879809,473778,5003
39,142700,Московская область,город Видное,деревня Петрушино,46407000181,46707000281,8ef364aa-7d8a-4ee7-9015-8380579fa7db,5000002500700,55.525507,37.696058,473778,5003
40,142700,Московская область,город Видное,деревня Пуговичино,46407000186,46707000286,215156f2-2728-4dc7-b20e-f8c9a7a2bfbe,5000002504100,55.533984,37.734137,473778,5003
41,142700,Московская область,город Видное,деревня Сапроново,46407000201,46707000301,9a7d0b4d-20c6-4e65-9395-c9be8b2b5ecd,5000002504900,55.529323,37.712318,473778,5003
42,142700,Московская область,город Видное,деревня Слобода,46407000206,46707000306,700dfd91-25dc-47a3-8bd0-3d3b4e7a0b09,5000002500800,55.603313,37.822649,473778,5003
43,142718,Московская область,город Видное,деревня Спасские Выселки,46407000216,46707000316,0e2079f7-0225-4e63-b455-c08dc660b36f,5000002501600,55.552821,37.644827,473778,5003
44,142702,Московская область,город Видное,деревня Спасское,46407000221,46707000321,7193841d-8a63-417f-b27f-e24643e33ee5,5000002501200,55.55004,37.657601,473778,5003
45,142700,Московская область,город Видное,деревня Суханово,46407000226,46707000326,8572a442-896a-4f17-b477-01d9e98f7b79,5000002501400,55.518399,37.655734,473778,5003
46,142700,Московская область,город Видное,деревня Таболово,46407000231,46707000331,9592a6c2-321e-49c7-8ca8-d00cc1f1f538,5000002500400,55.54701,37.740686,473778,5003
47,142700,Московская область,город Видное,деревня Тарычево,46407000236,46707000336,a3c62e83-42e6-4cf9-ae71-a4874814f3d2,5000002504400,55.56167,37.681281,473778,5003
48,142700,Московская область,город Видное,поселок Битца,46407000031,46707000131,656a2c9e-05dd-467d-b395-c78658db6389,5000002503700,55.572034,37.618668,473778,5003
49,142713,Московская область,город Видное,поселок Володарского,46407000061,46707000161,a13661f1-825d-46a8-b6cd-8916be6e93c0,5000002503000,55.502691,37.943104,473778,5003
50,142720,Московская область,город Видное,посёлок городского типа Боброво,46407556000,46707000056,616d4162-0d49-4efe-ba1a-764195b2886b,5000002500500,55.527294,37.615885,473778,5003
51,142700,Московская область,город Видное,посёлок городского типа Бутово,46407561000,46707000061,2ea86e46-4629-4cc9-afe0-068b9a0d21a4,5000002501000,55.544886,37.589679,473778,5003
52,142712,Московская область,город Видное,посёлок городского типа Горки Ленинские,46407566000,46707000066,c3d3bf86-9d36-43ba-a4c9-99532fcb01c0,5000002504500,55.506927,37.777025,473778,5003
53,142700,Московская область,город Видное,посёлок городского типа Дрожжино,46407571000,46707000071,33179b59-639a-4db0-817c-97f0e6d23bb4,5000002503500,55.527677,37.593821,473778,5003
54,142718,Московская область,город Видное,посёлок городского типа Измайлово,46407576000,46707000076,4ba58e25-72e6-430c-b2a0-19bc2bf1a34c,5000002504600,55.563595,37.645231,6417422,5003
55,142710,Московская область,город Видное,посёлок городского типа Лопатино,46407581000,46707000081,977bed40-3185-4d65-9cfc-317ac218a0ba,5000002504800,55.52861,37.646417,473778,5003
56,142721,Московская область,город Видное,посёлок городского типа Мисайлово,46407000161,46707000261,7db80ba8-f2f2-416e-aef5-e4cdc1deff33,5000002501900,55.563992,37.82555,473778,5003
57,142714,Московская область,город Видное,посёлок городского типа Молоково,46407000166,46707000266,bb9f5759-f5bd-4ffb-ab21-229fc4f8c923,5000002502700,55.562154,37.863567,525510,5003
58,142720,Московская область,город Видное,посёлок городского типа Новодрожжино,46407586000,46707000086,dfc500b8-0786-4445-a8e8-d935b652ad46,5000002505000,55.53346,37.585682,473778,5003
59,142718,Московская область,город Видное,поселок Дубровский,46407000091,46707000191,cbdb731d-5e32-4331-b388-b829d97d9c19,5000002503100,55.569866,37.631748,473778,5003
60,142700,Московская область,город Видное,поселок Ленинский,46407000126,46707000226,54894116-a0ec-4a56-b029-e716fb574827,5000002505100,55.561176,37.685305,473778,5003
61,142702,Московская область,город Видное,поселок Леспаркхоз,46407000131,46707000231,1a8976d0-f90c-4729-8ffc-5442b971f3fb,5000002503800,55.543501,37.601322,473778,5003
62,142034,Московская область,город Видное,поселок Мещерино,46407000151,46707000251,15d096d8-414a-483e-8488-278bf53b4b75,5000002504000,55.49801,37.819289,527429,5003
63,142711,Московская область,город Видное,поселок Петровское,46407000178,46707000278,eb2c59bd-0f9e-445a-8e9a-c1374bcf7ae5,5000002505500,55.541321,37.782952,473778,5003
64,142717,Московская область,город Видное,поселок Развилка,46407000191,46707000291,194877b9-830a-4c28-8e05-94825de0b816,5000002503200,55.591116,37.752957,473778,5003
65,142700,Московская область,город Видное,"поселок санатория ""Горки Ленинские""",46407000196,46707000296,8777a0cf-fdc6-43ee-9823-de0eed3a1497,5000002505300,55.508881,37.849868,473778,5003
66,142715,Московская область,город Видное,поселок совхоза имени Ленина,46407000211,46707000311,7805c5f1-a965-4035-88f4-a799dcac6977,5000002504300,55.584441,37.735405,473778,5003
67,142717,Московская область,город Видное,село Беседы,46407000026,46707000126,ffb902ec-02c6-488e-a183-51ec58dd2030,5000002504700,55.612116,37.788989,473778,5003
68,142700,Московская область,город Видное,село Булатниково,46407000056,46707000156,f90b1e5a-8acd-42d3-a1d7-d98d4993f500,5000002503300,55.562821,37.668803,473778,5003
69,142701,Московская область,город Видное,село Ермолино,46407000101,46707000201,a286801c-ebdf-40f0-abe5-fdffff3429d4,5000002502500,55.53669,37.710377,473778,5003
70,142714,Московская область,город Видное,село Остров,46407000176,46707000276,366b200e-98df-4c77-9e3d-979efcd460a9,5000002502600,55.58438,37.845205,473778,5003
71,143600,Московская область,город Волоколамск,,46408000000,46708000001,ca8fb626-709c-4851-a8d6-cbfd592c3bf8,5000006600000,56.035728,35.958537,472433,5017
72,143600,Московская область,город Волоколамск,деревня Авдотьино,46408000004,46708000104,0ebb18ce-5ae2-4cc5-948d-874856fa9295,5000006602000,56.065198,36.027411,472433,5017
73,143600,Московская область,город Волоколамск,деревня Аксеново,46408000010,46708000110,a1143a00-e3fc-4738-be93-535b433b93de,5000006625900,,,472433,5017
74,143600,Московская область,город Волоколамск,деревня Акулово,46408000013,46708000113,8e49fa0c-0f23-4120-ad62-affc6dca95c4,5000006608300,55.870117,36.069649,472433,5017
75,143641,Московская область,город Волоколамск,деревня Александровское,46408000016,46708000116,88b29a6c-bc0c-4dc7-a6eb-1c3b156c9bbd,5000006619200,56.080849,35.700307,472433,5017
76,143631,Московская область,город Волоколамск,деревня Алферьево,46408000019,46708000119,05d02c6a-2fbb-4bd3-aafb-9225bf043a7f,5000006602100,56.094389,35.871122,472433,5017
77,143600,Московская область,город Волоколамск,деревня Амельфино,46408000022,46708000122,00cef410-b062-4e68-b75f-e2185c8d0158,5000006612800,56.06171,36.13316,472433,5017
78,143640,Московская область,город Волоколамск,деревня Ананьино,46408000025,46708000125,2623fc36-2828-455c-bd69-06107b264c5e,5000006619000,56.023097,35.864474,472433,5017
79,143600,Московская область,город Волоколамск,деревня Анино,46408000028,46708000128,f078c573-b7ca-45a2-b3c0-c007b9919019,5000006612900,56.005943,36.118329,472433,5017
80,143600,Московская область,город Волоколамск,деревня Аннино,46408000031,46708000131,a03bba42-5502-4710-88d0-79040e5e2783,5000006613600,56.105194,36.168006,819552,5017
81,143616,Московская область,город Волоколамск,деревня Астафьево,46408000034,46708000134,31a872cb-d21f-4fb3-8022-fc03417aff4a,5000006619600,56.194373,36.260946,472433,5017
82,143621,Московская область,город Волоколамск,деревня Афанасово,46408000037,46708000137,2cb9fdee-1e56-48a9-a647-c8d7d23c204c,5000006618900,56.033922,35.741782,472433,5017
83,143626,Московская область,город Волоколамск,деревня Бабошино,46408000040,46708000140,e0dadca5-6c9e-42d4-9ab1-4d89e603a9f5,5000006604700,55.789112,35.695986,472433,5017
84,143600,Московская область,город Волоколамск,деревня Балобаново,46408000043,46708000143,f6ee5a33-e1af-44d3-afe5-c7b2ac4e0ec7,5000006619800,56.155744,36.194246,472433,5017
85,143600,Московская область,город Волоколамск,деревня Батурово,46408000046,46708000146,ef836fe7-6033-4bdf-9f04-8a209ef8042b,5000006619900,56.132303,36.300148,472433,5017
86,143616,Московская область,город Волоколамск,деревня Березниково,46408000049,46708000149,b24621ec-6ab6-4a18-acce-80eafb6a5ceb,5000006620000,56.154445,36.280125,472433,5017
87,143600,Московская область,город Волоколамск,деревня Беркино,46408000052,46708000152,a278960f-b179-4140-925e-ad51dd759582,5000006618800,56.023601,35.886375,472433,5017
88,143650,Московская область,город Волоколамск,деревня Богданово,46408000055,46708000155,8a4b6c1d-6556-42b7-8588-8b6d4a11d654,5000006614100,56.073856,36.169749,472433,5017
89,143628,Московская область,город Волоколамск,деревня Большое Никольское,46408000061,46708000161,613edefc-54e1-435c-a0cb-0a6ecaffa93c,5000006614600,55.99872,36.019469,472433,5017
90,143615,Московская область,город Волоколамск,деревня Большое Петровское,46408000064,46708000164,ca104796-5f81-47e8-a119-fcc2a3d793a7,5000006620200,56.134435,36.149474,472433,5017
91,143615,Московская область,город Волоколамск,деревня Большое Стромилово,46408000067,46708000167,a2e60907-6bfb-4bf5-a2a3-f0f0d4a802d4,5000006620300,56.170846,36.079953,472433,5017
92,143632,Московская область,город Волоколамск,деревня Большое Сырково,46408000070,46708000170,9afc0d38-26a7-4448-8ced-550ca5016e13,5000006618600,56.135815,35.790363,472433,5017
93,143616,Московская область,город Волоколамск,деревня Борисково,46408000073,46708000173,b294608a-2523-495b-9884-8781c499ea09,5000006620600,56.155628,36.307496,472433,5017
94,143613,Московская область,город Волоколамск,деревня Бортники,46408000076,46708000176,98f53f2c-2f9c-4a38-bee2-60bd5cd1c17c,5000006602200,56.137004,35.97264,472433,5017
95,143613,Московская область,город Волоколамск,деревня Ботово,46408000079,46708000179,2b8ad875-1ad9-4c3c-94fb-489f33cb8921,5000006602300,56.122465,35.966119,472433,5017
96,143623,Московская область,город Волоколамск,деревня Бражниково,46408000082,46708000182,d4387688-9aa3-4fce-b675-f9be2359fd37,5000006604900,55.839284,35.871795,472433,5017
97,143600,Московская область,город Волоколамск,деревня Буйгород,46408000085,46708000185,d622e705-317e-4566-b8f9-1d0f18d77bc9,5000006602400,56.121842,36.049204,472433,5017
98,143600,Московская область,город Волоколамск,деревня Бутаково,46408000088,46708000188,561c88e5-ec6f-49a0-be1f-975bc97a3f02,5000006608400,55.855153,36.02123,472433,5017
99,143600,Московская область,город Волоколамск,деревня Быково,46408000091,46708000191,41e5e3cf-0ab9-4ac0-8b30-654dc7ce7816,5000006600100,56.083109,36.00745,472433,5017
100,143615,Московская область,город Волоколамск,деревня Валуйки,46408000094,46708000194,250213db-f4b8-4a0d-984e-faa7f545046e,5000006620800,56.16012,36.111664,472433,5017
101,143628,Московская область,город Волоколамск,деревня Васильевское,46408000097,46708000197,508fc389-46d2-4e3a-9d1c-a08cbe753843,5000006616400,55.965002,36.026098,472433,5017
102,143720,Московская область,город Волоколамск,деревня Вашурино,46408000103,46708000203,ecff5249-f297-44c8-a2e1-e961040f822b,5000006609100,55.938269,35.773717,472433,5017
103,143600,Московская область,город Волоколамск,деревня Веригино,46408000106,46708000206,ddf076a9-169b-4de8-8bf0-3d0bfa6d3172,5000006602500,56.093478,36.079895,472433,5017
104,143600,Московская область,город Волоколамск,деревня Вишенки,46408000109,46708000209,f7cdc0d9-53ab-4c11-b8ab-351cbf80a6b5,5000006609200,55.847103,36.067889,472433,5017
105,143602,Московская область,город Волоколамск,деревня Владычино,46408000112,46708000212,d079df19-4a0f-42b0-b4ac-2cd6f1806042,5000006602600,56.085827,35.876916,472433,5017
106,143627,Московская область,город Волоколамск,деревня Власьево,46408000115,46708000215,ccf3c7d0-1348-4a68-9a79-1bc75c2c8fa9,5000006608500,55.925314,36.071311,472433,5017
107,143642,Московская область,город Волоколамск,деревня Внуково,46408000118,46708000218,def063b6-4571-48d4-b840-6c6134cbcbd9,5000006609300,55.85479,35.681559,472433,5017
108,143616,Московская область,город Волоколамск,деревня Воротово,46408000121,46708000221,d319320b-a5a0-4fbe-a9db-cb7c3fdf5fa3,5000006621000,56.119338,36.298666,472433,5017
109,143650,Московская область,город Волоколамск,деревня Ворсино,46408000144,46708000224,e4d20f02-9d58-46bf-b4c8-a357324fea41,5000006616600,56.097156,36.145818,472433,5017
110,143615,Московская область,город Волоколамск,деревня Высоково,46408000130,46708000230,e88c0191-0465-40c5-b29b-356393073284,5000006626200,,,472433,5017
111,143616,Московская область,город Волоколамск,деревня Высочково,46408000133,46708000233,825f41b9-2728-4e60-b84f-b8f8d334e8aa,5000006621200,56.162937,36.314252,472433,5017
112,143632,Московская область,город Волоколамск,деревня Гарутино,46408000136,46708000236,c08c0a00-af3b-4382-b095-80e518516765,5000006618500,56.120302,35.8047,472433,5017
113,143600,Московская область,город Волоколамск,деревня Глазачёво,46408000139,46708000239,46767cdc-495e-4f9e-9f33-6563199b2377,5000006602700,56.117968,36.045269,472433,5017
114,143623,Московская область,город Волоколамск,деревня Глазово,46408000142,46708000242,e0c8c913-4427-43fb-8c2d-685df5981045,5000006605000,55.804729,35.923646,472433,5017
115,143641,Московская область,город Волоколамск,деревня Голоперово,46408000145,46708000245,36bad1d1-cecf-46a6-ac2f-d18bbf649ec7,5000006618400,56.053371,35.782,472433,5017
116,143600,Московская область,город Волоколамск,деревня Голубцово,46408000148,46708000248,fc3f9206-b193-4c1c-a0a6-791a2e247b7a,5000006602800,56.068751,36.054558,472433,5017
117,143642,Московская область,город Волоколамск,деревня Горбуново,46408000151,46708000251,337a31d0-f5a7-490c-b0bd-db4990f75264,5000006609400,55.950106,35.82202,472433,5017
118,143600,Московская область,город Волоколамск,деревня Горки,46408000157,46708000257,922e1b74-6cd0-41a7-b88b-e650c5e91061,5000006626100,56.069811,36.217012,472433,5017
119,143600,Московская область,город Волоколамск,деревня Гряды,46408000160,46708000260,95d378fb-4141-4208-b9b8-18dea621a399,5000006617100,56.013945,36.231526,472433,5017
120,143632,Московская область,город Волоколамск,деревня Гусево,46408000163,46708000263,591a845c-f13a-4468-9349-4f5a21a13eee,5000006618200,56.110284,35.832566,472433,5017
121,143600,Московская область,город Волоколамск,деревня Гусенево,46408000166,46708000266,cb20c3e9-3445-4112-a3ec-f68aa90a210e,5000006617300,56.034843,36.203912,472433,5017
122,143613,Московская область,город Волоколамск,деревня Давыдово,46408000169,46708000269,3d64f9bb-3a7f-4207-a5eb-d63fd31e89aa,5000006602900,56.119072,35.945457,472433,5017
123,143611,Московская область,город Волоколамск,деревня Данилково,46408000172,46708000272,caf2eb28-e87f-4deb-a1e8-73db4a4c2131,5000006601000,55.961606,36.157792,472433,5017
124,143600,Московская область,город Волоколамск,деревня Дерменцево,46408000175,46708000275,8a3fd643-732e-472d-bda4-0058cb157707,5000006605100,55.837687,35.787075,472433,5017
125,143600,Московская область,город Волоколамск,деревня Дубосеково,46408000181,46708000281,99528d34-6af9-4e76-a5a8-36067e362d6f,5000006609600,55.9482,35.840848,472433,5017
126,143600,Московская область,город Волоколамск,деревня Дьяково,46408000184,46708000284,d2ea085e-dc9b-4072-9611-7db3ab6dc0cb,5000006605200,55.750798,35.768058,472433,5017
127,143650,Московская область,город Волоколамск,деревня Еднево,46408000187,46708000287,e81d4637-bcff-47e6-b35e-91ac102566bf,5000006617400,56.086505,36.220423,472433,5017
128,143616,Московская область,город Волоколамск,деревня Еремеево,46408000190,46708000290,d346850e-597c-4e73-88d8-1240e1048f4a,5000006621500,56.149612,36.263569,472433,5017
129,143600,Московская область,город Волоколамск,деревня Ефимьево,46408000193,46708000293,93c02fc6-684b-49e6-90a4-d2fedac677f7,5000006621700,56.139446,36.106184,472433,5017
130,143628,Московская область,город Волоколамск,деревня Жданово,46408000196,46708000296,65fb8de8-415c-45aa-91e5-06665b3d1fe5,5000006600300,55.996888,35.981228,472433,5017
131,143650,Московская область,город Волоколамск,деревня Житино,46408000199,46708000299,34e603fe-8b45-4d2e-aa27-c1490bb451ae,5000006621900,56.117642,36.170925,472433,5017
132,143623,Московская область,город Волоколамск,деревня Жуковка,46408000202,46708000302,f53485a2-8c6d-4620-802e-3f6ca7f3b4e2,5000006605300,55.817158,35.894092,472433,5017
133,143623,Московская область,город Волоколамск,деревня Жулино,46408000205,46708000305,595ba3e0-2c6a-4976-bd6b-48fa3ba39388,5000006605400,55.843378,35.83916,472433,5017
134,143616,Московская область,город Волоколамск,деревня Занино,46408000208,46708000308,8328bc32-019d-4486-a0fa-79658fa0e17e,5000006622100,56.165544,36.293294,472433,5017
135,143640,Московская область,город Волоколамск,деревня Захарьино,46408000211,46708000311,31d6d1e9-c63d-4697-bf78-5eab4ba22798,5000006618000,56.066635,35.81857,472433,5017
136,143627,Московская область,город Волоколамск,деревня Зобово,46408000214,46708000314,f8c82327-a964-45a5-be60-e6866c8d28d3,5000006609700,55.905982,36.096177,472433,5017
137,143650,Московская область,город Волоколамск,деревня Золево,46408000217,46708000317,feb01cce-4e3b-4d7c-8e8e-396d056ae66a,5000006617700,56.060408,36.229424,472433,5017
138,143600,Московская область,город Волоколамск,деревня Зубово,46408000220,46708000320,ea846849-0bf6-44e0-9adc-db10ddde6cc5,5000006617800,56.020909,35.813647,472433,5017
139,143600,Московская область,город Волоколамск,деревня Ивановское,46408000223,46708000323,3917255d-580f-4911-b820-7cf83a67d0fd,5000006609800,55.90738,35.798161,472433,5017
140,143600,Московская область,город Волоколамск,деревня Иванцево,46408000229,46708000329,7d59d5a0-636f-4b49-afe1-ff46ce3499d1,5000006617900,55.97201,36.113748,472433,5017
141,143623,Московская область,город Волоколамск,деревня Иваньково,46408000232,46708000332,f4a11da3-cd89-4b6c-a10c-ec1089c214c3,5000006605500,55.824167,35.868103,472433,5017
142,143600,Московская область,город Волоколамск,деревня Игнатково,46408000235,46708000335,54474452-b2b3-4dad-839f-76081ea82133,5000006605600,55.81519,35.790884,472433,5017
143,143600,Московская область,город Волоколамск,деревня Иевлево,46408000238,46708000338,568e69d9-b638-4a08-ab91-fab8726ca57a,5000006609900,55.932309,35.955653,472433,5017
144,143626,Московская область,город Волоколамск,деревня Ильино,46408000241,46708000341,bd47e648-6de5-47a4-a8f4-9f92fad08e79,5000006605700,55.737446,35.747963,472433,5017
145,143600,Московская область,город Волоколамск,деревня Ильинское,46408000244,46708000344,b7b91e27-f6db-4c19-8383-2810067db0a0,5000006626300,,,472433,5017
146,143600,Московская область,город Волоколамск,деревня Исаково,46408000253,46708000353,15da2f7f-542b-4f34-888f-8963fb504972,5000006617200,56.058162,35.71397,472433,5017
147,143616,Московская область,город Волоколамск,деревня Каверино,46408000256,46708000356,3090cf1b-6644-4350-8cc2-27e7ac9b8a62,5000006622200,56.181194,36.246016,472433,5017
148,143615,Московская область,город Волоколамск,деревня Калеево,46408000259,46708000359,296a91e3-a882-45fc-8146-bf66d11a3a9f,5000006626400,56.169918,36.18949,472433,5017
149,143634,Московская область,город Волоколамск,деревня Калистово,46408000265,46708000365,4bf9638c-6ef6-49aa-9ed5-d028ebb19287,5000006603000,56.076091,35.988199,472433,5017
150,143616,Московская область,город Волоколамск,деревня Калуево,46408000268,46708000368,c35d963d-40de-4306-967a-871c6a7347b6,5000006622300,56.166747,36.215257,472433,5017
151,143600,Московская область,город Волоколамск,деревня Каменки,46408000271,46708000371,cf14f684-b893-4667-b0c0-85de032b238c,5000006610000,55.902515,36.135002,472433,5017
152,143627,Московская область,город Волоколамск,деревня Карабузино,46408000274,46708000374,c7a42fb5-e08a-4db8-82e1-d3b9ea366436,5000006610100,55.872622,36.039026,472433,5017
153,143623,Московская область,город Волоколамск,деревня Кашилово,46408000280,46708000380,a894cdec-6959-48f9-9eba-a9116eccde85,5000006605900,55.842115,35.746534,472433,5017
154,143631,Московская область,город Волоколамск,деревня Кашино,46408000283,46708000383,8938e7d6-8066-4254-a07b-8c993a1301fc,5000006601900,56.103954,35.916747,472433,5017
155,143600,Московская область,город Волоколамск,деревня Клетки,46408000286,46708000386,ad3b01dc-4520-484a-9679-c26da3eb2399,5000006610200,55.898836,35.74118,472433,5017
156,143642,Московская область,город Волоколамск,деревня Клишино,46408000289,46708000389,aad87309-6dd1-46b8-983b-5ab5f7335315,5000006610300,55.907935,35.840274,472433,5017
157,143623,Московская область,город Волоколамск,деревня Княжево,46408000292,46708000392,3d5313bb-57a7-4fb9-9491-ab691c671437,5000006606000,55.80355,35.747873,472433,5017
158,143604,Московская область,город Волоколамск,деревня Козино,46408000295,46708000395,0a52e204-ce51-4865-b99c-f831d6e9122d,5000006610400,55.993399,35.823664,472433,5017
159,143631,Московская область,город Волоколамск,деревня Козлово,46408000298,46708000398,9994a2df-a6b8-4877-9cf9-ccdf462e73e8,5000006603100,56.117276,35.924482,472433,5017
160,143623,Московская область,город Волоколамск,деревня Комарово,46408000301,46708000401,2bc291f5-5020-426b-ba44-ad921d1c2ad7,5000006606100,55.836974,35.965157,472433,5017
161,143616,Московская область,город Волоколамск,деревня Кондратово,46408000304,46708000404,dc4d72a2-892a-48f7-b24c-3eefc0462597,5000006622400,56.155007,36.334949,472433,5017
162,143600,Московская область,город Волоколамск,деревня Коняшино,46408000307,46708000407,6cd2c6b1-6dea-43b5-b493-b67da39ed0f3,5000006610500,55.906305,35.90974,472433,5017
163,143600,Московская область,город Волоколамск,деревня Копытцево,46408000310,46708000410,82fae204-d941-4d6b-82e3-90552b784e56,5000006601100,55.979561,36.189368,472433,5017
